designNumber,wastedVol,volume,cutOff,utilization,fTimesLengthSum
,10200.237370431934,58916.76262956807,0.17312963094331368,0.8969266912076325,97.1719964978477
,14815.333751342856,59135.666248657144,0.250531273107611,0.8968915966056001,96.47881856173228
,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
,14160.513977810107,58162.486022189885,0.24346473038321734,0.9049091698671711,96.69264972456288
,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
,12663.80783738335,58886.192162616644,0.2150556416079974,0.9049735332552821,95.44936503714825
8,12663.80783738335,58886.192162616644,0.2150556416079974,0.9049735332552821,95.44936503714825
3,13386.447881044687,61303.55211895531,0.21836333162341406,0.8937377870191145,100.53616302091532
,7976.484390887618,64281.51560911238,0.12408675052703476,0.884920869892268,105.44362792346872
,6406.8559312033885,36799.14406879661,0.1741033954275041,0.9247301894919673,61.379771959420516
,14140.535277662699,59849.4647223373,0.23626836669744017,0.8900231948923621,96.44869233364858
2,16573.333751342856,59135.666248657144,0.28025952530329706,0.8968915966056001,96.47881856173228
,16010.770632327578,36237.22936767242,0.44183208572261706,0.9062327574086733,59.543738085092656
7,13603.551454703309,52556.44854529669,0.2588369616143079,0.9207070737345302,88.67805022321716
12,5946.8559312033885,36799.14406879661,0.16160310468324054,0.9247301894919673,61.379771959420516
11,10215.484390887616,64281.51560911238,0.158917914334918,0.884920869892268,105.44362792346872
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
3,13386.447881044684,61303.55211895531,0.218363331623414,0.8937377870191145,100.53616302091532
11,9336.484390887617,64281.51560911238,0.14524368790029124,0.884920869892268,105.44362792346872
11,7976.484390887618,64281.51560911238,0.12408675052703476,0.884920869892268,105.44362792346872
15,17820.770632327578,36237.22936767242,0.49178071677371826,0.9062327574086733,59.543738085092656
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
12,5946.8559312033885,36799.14406879661,0.16160310468324054,0.9247301894919673,61.379771959420516
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
3,13386.447881044687,61303.55211895531,0.21836333162341406,0.8937377870191145,100.53616302091532
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
1,11131.237370431934,58916.76262956807,0.18893158540326166,0.8969266912076325,97.1719964978477
6,13281.51397781011,58162.486022189885,0.22835189631927025,0.9049091698671711,96.69264972456288
,13933.021189507188,58936.97881049282,0.23640541932608578,0.8937728577433205,95.97827219605834
12,5946.8559312033885,36799.14406879661,0.16160310468324054,0.9247301894919673,61.379771959420516
6,15918.513977810107,58162.486022189885,0.2736903985111116,0.9049091698671711,96.69264972456288
,12182.20817382843,59404.791826171575,0.20507113650824033,0.892810559793175,97.24577200453182
8,14421.80783738335,58886.192162616644,0.24490983892381654,0.9049735332552821,95.44936503714825
3,9546.447881044689,61303.55211895531,0.15572422071922465,0.8937377870191145,100.53616302091532
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
,9899.690999925842,63728.309000074165,0.15534212589752416,0.8894327035201335,105.29207296660259
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
7,9063.551454703309,52556.44854529669,0.17245365137052077,0.9207070737345302,88.67805022321716
,13915.152003301951,57695.847996698045,0.24118116790827515,0.909025457492794,96.64229897644357
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
1,9321.237370431936,58916.76262956807,0.15821027759176237,0.8969266912076325,97.1719964978477
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
2,15694.333751342856,59135.666248657144,0.265395399205454,0.8968915966056001,96.47881856173228
11,9336.484390887617,64281.51560911238,0.14524368790029124,0.884920869892268,105.44362792346872
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
,9359.663877001503,45990.3361229985,0.20351370887939635,0.9206803162966839,76.53139001679261
12,6406.8559312033885,36799.14406879661,0.1741033954275041,0.9247301894919673,61.379771959420516
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
6,13281.51397781011,58162.486022189885,0.22835189631927025,0.9049091698671711,96.69264972456288
,9040.63056170211,36846.369438297894,0.2453601453690396,0.901976124234499,60.07858152199323
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
46,16604.15200330195,57695.847996698045,0.28778764122250555,0.909025457492794,96.64229897644357
,14255.693330961254,59101.30666903875,0.24120775215329288,0.889024572222133,96.52542973083722
53,9359.663877001503,45990.3361229985,0.20351370887939635,0.9206803162966839,76.53139001679261
,11369.816413010594,58638.1835869894,0.19389782761847557,0.8931408979553758,96.47496516343742
6,14160.513977810107,58162.486022189885,0.24346473038321734,0.9049091698671711,96.69264972456288
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
37,13061.20817382843,59404.791826171575,0.21986792264246502,0.892810559793175,97.24577200453182
15,17820.770632327578,36237.22936767242,0.49178071677371826,0.9062327574086733,59.543738085092656
53,9359.663877001503,45990.3361229985,0.20351370887939635,0.9206803162966839,76.53139001679261
60,13376.693330961254,59101.30666903875,0.2263349845354412,0.889024572222133,96.52542973083722
60,13376.693330961254,59101.30666903875,0.2263349845354412,0.889024572222133,96.52542973083722
11,14295.484390887616,64281.51560911238,0.22238872645468746,0.884920869892268,105.44362792346872
13,9181.535277662699,59849.4647223373,0.15341048278809288,0.8900231948923621,96.44869233364858
6,14160.513977810107,58162.486022189885,0.24346473038321734,0.9049091698671711,96.69264972456288
46,13088.152003301951,57695.847996698045,0.22684738083840958,0.909025457492794,96.64229897644357
3,9546.447881044687,61303.55211895531,0.15572422071922462,0.8937377870191145,100.53616302091532
46,11278.152003301951,57695.847996698045,0.1954759726202032,0.909025457492794,96.64229897644357
34,13054.021189507188,58936.97881049282,0.22149118351453603,0.8937728577433205,95.97827219605834
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
,9320.299350042133,45589.700649957864,0.2044387047329899,0.9247959045624415,76.46278856856516
8,12663.80783738335,58886.192162616644,0.2150556416079974,0.9049735332552821,95.44936503714825
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
6,15918.513977810107,58162.486022189885,0.2736903985111116,0.9049091698671711,96.69264972456288
11,7976.484390887618,64281.51560911238,0.12408675052703476,0.884920869892268,105.44362792346872
15,18647.770632327578,36237.22936767242,0.5146025498561828,0.9062327574086733,59.543738085092656
3,13386.447881044684,61303.55211895531,0.218363331623414,0.8937377870191145,100.53616302091532
62,11369.816413010594,58638.1835869894,0.19389782761847557,0.8931408979553758,96.47496516343742
2,16573.333751342856,59135.666248657144,0.28025952530329706,0.8968915966056001,96.47881856173228
43,12588.690999925842,63728.309000074165,0.19753687485903937,0.8894327035201335,105.29207296660259
7,7625.551454703309,52556.44854529669,0.1450925940730393,0.9207070737345302,88.67805022321716
46,12157.152003301951,57695.847996698045,0.21071103771622718,0.909025457492794,96.64229897644357
7,11705.551454703307,52556.44854529669,0.22272341032736778,0.9207070737345302,88.67805022321716
2,16573.333751342856,59135.666248657144,0.28025952530329706,0.8968915966056001,96.47881856173228
6,13281.51397781011,58162.486022189885,0.22835189631927025,0.9049091698671711,96.69264972456288
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
12,6406.8559312033885,36799.14406879661,0.1741033954275041,0.9247301894919673,61.379771959420516
62,12088.816413010594,58638.1835869894,0.2061594625467364,0.8931408979553758,96.47496516343742
3,10906.447881044689,61303.55211895531,0.1779089058311251,0.8937377870191145,100.53616302091532
5,7407.990060264001,39813.009939735995,0.18606958055864903,0.9140599673310049,66.25221590260749
60,13376.693330961254,59101.30666903875,0.2263349845354412,0.889024572222133,96.52542973083722
46,11278.152003301951,57695.847996698045,0.1954759726202032,0.909025457492794,96.64229897644357
46,12157.152003301951,57695.847996698045,0.21071103771622718,0.909025457492794,96.64229897644357
